blockchain,address,symbol,blockchain_override
aleo,null,ALEO,null
aptos,null,APT,null
arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,null
avalanche,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,AVAX,null
axelar,null,AXL,null
base,0x4200000000000000000000000000000000000006,WETH,null
bob,0x4200000000000000000000000000000000000006,WETH,null
boba,0xa18bf3994c0cc6e3b63ac420308e5383f53120d7,BOBA,null
bsc,null,BNB,null
core,null,CORE,null
cosmos,uatom,ATOM,null
eclipse,so11111111111111111111111111111111111111112,ETH,null
ethereum,null,ETH,null
flow,null,FLOW,null
flow_evm,null,null,null
gnosis,null,XDAI,null
ink,0x4200000000000000000000000000000000000006,WETH,null
kaia,0x0000000000000000000000000000000000000000,KAIA,null
mantle,null,MNT,null
near,null,NEAR,near protocol
optimism,0x4200000000000000000000000000000000000006,WETH,null
polygon,null,POL,null
ronin,null,RON,null
sei,null,SEI,null
sei_evm,null,null,null
solana,null,SOL,null
stellar,null,XLM,null
swell,null,ETH,ethereum
ton,null,TON,toncoin
